"datetime";"date";"time";"price";"shares";"amount";"tax";"fee";"realizedgains";"type";"broker";"assettype";"identifier";"wkn";"originalcurrency";"currency";"fxrate";"holding";"holdingname";"holdingnickname";"exchange";"avgholdingperiod"
"2025-12-24T11:43:39.000Z";"24.12.2025";"12:43:00";66,69;6;400,11;0;0,3;;"Buy";"interactive_brokers";"Security";"US48581R2058";"A2QD9Y";"USD";"EUR";1,177468;;"Kaspi.kz";"";"";
"2025-12-24T11:40:31.000Z";"24.12.2025";"12:40:00";39,67;20;793,31;0;0,3;;"Buy";"interactive_brokers";"Security";"CA11271J1075";"A3D3EV";"USD";"EUR";1,177468;;"Brookfield Corporation";"";"";
"2025-12-24T11:34:08.000Z";"24.12.2025";"12:34:00";1;11,16;11,16;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-24T08:09:51.276Z";"24.12.2025";"09:09:00";1;2000;2000;0;0;;"TransferIn";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-23T15:20:42.000Z";"23.12.2025";"16:20:00";1;20;20;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-23T08:00:00.001Z";"23.12.2025";"09:00:00";4,52;0,005652;0,0255;0;0;;"Dividend";"trade_republic";"Security";"US09290D1019";"A40PW4";;"EUR";;;"BlackRock";"";"langschwarz";
"2025-12-23T08:00:00.000Z";"23.12.2025";"09:00:00";0,34;1,393725;0,48;0,13;0;;"Dividend";"trade_republic";"Security";"US98419M1009";"A1JMBU";;"EUR";;;"XYLEM";"";"langschwarz";
"2025-12-21T00:07:13.000Z";"21.12.2025";"01:07:00";1;17,4;17,4;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-20T09:18:02.000Z";"20.12.2025";"10:18:00";1;21,99;21,99;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-19T11:36:59.000Z";"19.12.2025";"12:36:00";1;8,54;8,54;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-19T07:02:19.571Z";"19.12.2025";"08:02:00";1;100;100;0;0;;"TransferIn";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-18T08:00:00.000Z";"18.12.2025";"09:00:00";0,31;1,715354;0,53;0,15;0;;"Dividend";"trade_republic";"Security";"GB00BP6MXD84";"A3C99G";;"EUR";;;"Shell";"";"langschwarz";
"2025-12-18T08:00:00.000Z";"18.12.2025";"09:00:00";0,18;17;3,04;0,46;0;;"Dividend";"scalable_capital";"Security";"US02079K3059";"A14Y6F";;"EUR";;;"Alphabet 'A'";;"";
"2025-12-17T08:00:00.000Z";"17.12.2025";"09:00:00";1,27;1,025972;1,31;0,36;0;;"Dividend";"trade_republic";"Security";"IE000S9YS762";"A3D7VW";;"EUR";;;"Linde";"";"langschwarz";
"2025-12-16T15:42:00.000Z";"16.12.2025";"16:42:00";10,96;0,275565;3,02;0,01;1;-0,0658;"Sell";"trade_republic";"Security";"IE0003XJA0J9";"ETF151";;"EUR";;;"Amundi Prime All Country World UCITS ETF - USD ACC";"";"langschwarz";699480000
"2025-12-16T15:41:00.000Z";"16.12.2025";"16:41:00";7,01;5350;37503,5;0;1;;"Buy";"trade_republic";"Security";"IE000716YHJ7";"A3D7QX";;"EUR";;;"Invesco FTSE All-World UCITS ETF Acc";"";"langschwarz";
"2025-12-16T15:38:00.000Z";"16.12.2025";"16:38:00";10,96;3350;36722,7;87,25;1;322,99;"Sell";"trade_republic";"Security";"IE0003XJA0J9";"ETF151";;"EUR";;;"Amundi Prime All Country World UCITS ETF - USD ACC";"";"langschwarz";4945978846
"2025-12-15T08:00:00.000Z";"15.12.2025";"09:00:00";0,18;5,08347;0,91;0,25;0;;"Dividend";"trade_republic";"Security";"US02079K3059";"A14Y6F";;"EUR";;;"Alphabet 'A'";"";"langschwarz";
"2025-12-12T12:08:23.000Z";"12.12.2025";"13:08:00";1;191,71;191,71;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-12T08:00:00.000Z";"12.12.2025";"09:00:00";0,0679;24;1,63;0,25;0;;"Dividend";"scalable_capital";"Security";"US45841N1072";"A0MQY6";;"EUR";;;"Interactive Brokers Group A";"";"";
"2025-12-12T08:00:00.000Z";"12.12.2025";"09:00:00";0,0181;8,223684;0,15;0,05;0;;"Dividend";"trade_republic";"Security";"GB00BLDYK618";"A115BA";;"EUR";;;"Scottish Mort Inv Tst";"";"langschwarz";
"2025-12-11T18:38:17.000Z";"11.12.2025";"19:38:00";1;9,88;9,88;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-11T08:00:00.000Z";"11.12.2025";"09:00:00";0,77;7;5,42;0,82;0;;"Dividend";"scalable_capital";"Security";"US5949181045";"870747";;"EUR";;;"Microsoft";;"";
"2025-12-11T08:00:00.000Z";"11.12.2025";"09:00:00";0,14;1,191203;0,17;0,0558;0;;"Dividend";"trade_republic";"Security";"US49714P1084";"A2APEC";;"EUR";;;"Kinsale Capital";"";"langschwarz";
"2025-12-11T06:13:37.000Z";"11.12.2025";"07:13:00";1;11,22;11,22;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-10T11:01:04.000Z";"10.12.2025";"12:01:00";41,37;50;2068,62;0;1,37;;"Buy";"interactive_brokers";"Security";"DK0062498333";"A3EU6F";"DKK";"EUR";7,468748;;"Novo Nordisk 'B'";"";"";
"2025-12-10T08:00:00.001Z";"10.12.2025";"09:00:00";0,21;80;17,15;5,63;0;;"Dividend";"trade_republic";"Security";"JP3475350009";"A0F57T";;"EUR";;;"Daiichi Sankyo";"";"langschwarz";
"2025-12-10T08:00:00.000Z";"10.12.2025";"09:00:00";0,83;0,682939;0,57;0,16;0;;"Dividend";"trade_republic";"Security";"US78409V1044";"A2AHZ7";;"EUR";;;"S&P Global";"";"langschwarz";
"2025-12-09T17:39:52.715Z";"09.12.2025";"18:39:00";1;431,2;431,2;0;0;;"TransferIn";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-09T16:25:42.000Z";"09.12.2025";"17:25:00";1;14,11;14,11;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-09T13:22:23.641Z";"09.12.2025";"14:22:00";1;4616,14;4616,14;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-09T13:19:39.048Z";"09.12.2025";"14:19:00";1;4716,14;4716,14;0;0;;"TransferIn";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-12-09T12:32:13.000Z";"09.12.2025";"13:32:00";14,32;100;1431,78;0;0,32;;"Buy";"interactive_brokers";"Security";"KYG6683N1034";"A3C82G";"USD";"EUR";1,162735;;"Nubank";"";"";
"2025-12-09T12:13:12.000Z";"09.12.2025";"13:13:00";111,13;10;1111,33;0;0,33;;"Buy";"interactive_brokers";"Security";"US0304201033";"A0NJ38";"USD";"EUR";1,162735;;"American Water Works";"";"";
