Date,Type,Ticker,ISIN,Name,Asset Type,Shares,Price,Total,Fees,Currency,Source
2023-06-05 00:00:00,TransferIn,,,,Unknown,400.0,1.0,400.0,0.0,EUR,Unknown
2023-06-06 00:00:00,TransferIn,,,,Unknown,555.37,1.0,555.37,0.0,EUR,Unknown
2023-06-06 00:00:00,Buy,COIN,,Coinbase,Stock,6.0,44.3,-265.8,0.0,EUR,Unknown
2023-06-06 00:00:00,Sell,COIN,,Coinbase,Stock,6.0,45.13,270.78,0.0,EUR,Unknown
2023-06-07 00:00:00,TransferIn,,,,Unknown,1.0,1.0,1.0,0.0,EUR,Unknown
2023-06-07 00:00:00,Buy,SRXIF,,iShares MSCI World SRI UCITS ETF - USD DIS,Stock,35.0,7.32,-256.03,0.0,EUR,Unknown
2023-06-08 00:00:00,TransferIn,,,,Unknown,663.7,1.0,663.7,0.0,EUR,Unknown
2023-06-09 00:00:00,Buy,DE000A14KRD3,,Deutsche Konsum REIT,Stock,40.0,6.8,-272.0,0.0,EUR,Unknown
2023-06-09 00:00:00,Buy,LU1437018838,,Amundi Index FTSE EPRA NAREIT Global UCITS ETF - DR EUR ACC,Stock,5.0,58.0,-290.0,0.0,EUR,Unknown
2023-06-09 00:00:00,Buy,AMT,,American Tower,Stock,2.0,174.9,-349.8,0.0,EUR,Unknown
2023-06-12 00:00:00,TransferIn,,,,Unknown,697.55,1.0,697.55,0.0,EUR,Unknown
2023-06-12 00:00:00,TransferIn,,,,Unknown,80.0,1.0,80.0,0.0,EUR,Unknown
2023-06-12 00:00:00,Buy,IPHSF,,Invesco Physical Gold ETC,Stock,0.284,175.96,-49.97,0.0,EUR,Unknown
2023-06-12 00:00:00,Buy,CHEF,,Chefs Warehouse,Stock,9.0,30.2,-271.8,0.0,EUR,Unknown
2023-06-12 00:00:00,Buy,EUXTF,,Euronext,Stock,4.0,64.35,-257.4,0.0,EUR,Unknown
2023-06-12 00:00:00,Sell,SRXIF,,iShares MSCI World SRI UCITS ETF - USD DIS,Stock,35.0,7.32,256.06,0.0,EUR,Unknown
2023-06-12 00:00:00,Buy,TX,,Ternium (ADR),Stock,7.0,38.2,-267.4,0.0,EUR,Unknown
2023-06-13 00:00:00,TransferIn,,,,Unknown,350.0,1.0,350.0,0.0,EUR,Unknown
2023-06-13 00:00:00,Buy,IVVPF,,iShares Core EURO STOXX 50 UCITS ETF - ACC,Stock,0.515,155.1,-79.88,0.0,EUR,Unknown
2023-06-13 00:00:00,Buy,IE00BYX2JD69,,iShares MSCI World SRI UCITS ETF - EUR ACC,Stock,26.329,9.49,-249.99,0.0,EUR,Unknown
2023-06-13 00:00:00,Buy,IE000GOJO2A3,,Vanguard ESG Developed Asia Pacific All Cap UCITS ETF (USD) Accumulating,Stock,3.454,5.79,-20.0,0.0,EUR,Unknown
2023-06-13 00:00:00,Buy,VGFPF,,Vanguard S&P 500 UCITS ETF - USD ACC,Stock,1.33,75.16,-99.97,0.0,EUR,Unknown
2023-06-13 00:00:00,Buy,HIMS,,Hims & Hers Health,Stock,30.0,8.46,-253.8,0.0,EUR,Unknown
2023-06-13 00:00:00,Buy,IIPR,,Innovative Industrial Properties,Stock,4.0,66.8,-267.2,0.0,EUR,Unknown
2023-06-14 00:00:00,Sell,HIMS,,Hims & Hers Health,Stock,30.0,8.14,244.2,0.99,EUR,Unknown
2023-06-15 00:00:00,TransferIn,,,,Unknown,250.0,1.0,250.0,0.0,EUR,Unknown
2023-06-15 00:00:00,Buy,NATKY,,NAC Kazatomprom GDR,Stock,10.0,25.5,-255.0,0.0,EUR,Unknown
2023-06-19 00:00:00,Sell,AMT,,American Tower,Stock,2.0,176.3,352.6,0.0,EUR,Unknown
2023-06-19 00:00:00,Sell,VGFPF,,Vanguard S&P 500 UCITS ETF - USD ACC,Stock,1.33,75.51,100.43,0.99,EUR,Unknown
2023-06-19 00:00:00,Sell,IVVPF,,iShares Core EURO STOXX 50 UCITS ETF - ACC,Stock,0.515,156.68,80.69,0.99,EUR,Unknown
2023-06-19 00:00:00,Sell,IE000GOJO2A3,,Vanguard ESG Developed Asia Pacific All Cap UCITS ETF (USD) Accumulating,Stock,3.454,5.71,19.71,0.99,EUR,Unknown
2023-06-19 00:00:00,Buy,US85859N1028,,Stem Inc. A,Stock,50.0,5.49,-274.5,0.0,EUR,Unknown
2023-06-19 00:00:00,Sell,IPHSF,,Invesco Physical Gold ETC,Stock,0.284,172.35,48.95,0.99,EUR,Unknown
2023-06-19 00:00:00,Buy,GB00B1XZS820,,Anglo American,Stock,8.807339449541285,33.40395833333333,-294.2,0.0,EUR,Unknown
2023-06-19 00:00:00,Buy,BHPLF,,BHP,Stock,9.0,28.96,-260.64,0.0,EUR,Unknown
2023-06-19 00:00:00,Sell,IE00BYX2JD69,,iShares MSCI World SRI UCITS ETF - EUR ACC,Stock,26.329,9.51,250.26,0.0,EUR,Unknown
2023-06-20 00:00:00,Buy,SSWRF,,SPDR MSCI World UCITS ETF - USD ACC,Stock,10.0,27.92,-279.17,0.0,EUR,Unknown
2023-06-21 00:00:00,TransferIn,,,,Unknown,300.0,1.0,300.0,0.0,EUR,Unknown
2023-06-21 00:00:00,Buy,BTAFF,,British American Tobacco,Stock,10.0,30.0,-300.0,0.0,EUR,Unknown
2023-06-26 00:00:00,TransferIn,,,,Unknown,700.0,1.0,700.0,0.0,EUR,Unknown
2023-06-26 00:00:00,Buy,STLA,,Stellantis N.V.,Stock,20.0,15.29,-305.8,0.0,EUR,Unknown
2023-06-26 00:00:00,Buy,DE000A0LAUP1,,CropEnergies AG,Stock,30.0,9.89,-296.7,0.0,EUR,Unknown
2023-06-28 00:00:00,TransferIn,,,,Unknown,1050.0,1.0,1050.0,0.0,EUR,Unknown
2023-06-28 00:00:00,Buy,KR,,Kroger,Stock,6.0,42.86,-257.16,0.0,EUR,Unknown
2023-06-28 00:00:00,Buy,SBYSF,,Sibanye Stillwater,Stock,200.0,1.39,-278.0,0.0,EUR,Unknown
2023-06-28 00:00:00,Buy,ENPH,,Enphase Energy,Stock,2.0,149.94,-299.88,0.0,EUR,Unknown
2023-06-28 00:00:00,Buy,ABCL,,AbCellera,Stock,45.0,5.99,-269.73,0.0,EUR,Unknown
2023-06-28 00:00:00,Sell,IIPR,,Innovative Industrial Properties,Stock,4.0,68.35,273.4,0.0,EUR,Unknown
2023-06-29 00:00:00,Buy,HOEGF,,Höegh Autoliners,Stock,55.0,4.98,-273.79,0.0,EUR,Unknown
2023-07-03 00:00:00,TransferIn,,,,Unknown,608.0,1.0,608.0,0.0,EUR,Unknown
2023-07-03 00:00:00,Interest,,,,Unknown,1.23,1.0,1.23,0.0,EUR,Unknown
2023-07-03 00:00:00,Buy,DE000A1TNUT7,,Deutsche Beteiligung,Stock,9.0,28.95,-260.55,0.0,EUR,Unknown
2023-07-03 00:00:00,Buy,ASTVF,,Austevoll Seafood,Stock,45.0,6.38,-286.88,0.0,EUR,Unknown
2023-07-04 00:00:00,TransferIn,,,,Unknown,434.56,1.0,434.56,0.0,EUR,Unknown
2023-07-04 00:00:00,Sell,LU1437018838,,Amundi Index FTSE EPRA NAREIT Global UCITS ETF - DR EUR ACC,Stock,5.0,58.01,290.05,0.0,EUR,Unknown
2023-07-04 00:00:00,Buy,CLIQ.DE,,CLIQ Digital,Stock,11.0,24.55,-270.05,0.0,EUR,Unknown
2023-07-05 00:00:00,Buy,BDORY,,BANCO DO BRASIL ADR,Stock,60.0,4.925,-295.5,0.0,EUR,Unknown
2023-07-06 00:00:00,TransferIn,,,,Unknown,40.0,1.0,40.0,0.0,EUR,Unknown
2023-07-07 00:00:00,TransferIn,,,,Unknown,150.0,1.0,150.0,0.0,EUR,Unknown
2023-07-10 00:00:00,Dividend,AMT,,American Tower,Stock,2.0,1.43,2.85,0.0,EUR,Unknown
2023-07-10 00:00:00,Buy,SSWRF,,SPDR MSCI World UCITS ETF - USD ACC,Stock,5.431,27.61,-149.98,0.0,EUR,Unknown
2023-07-10 00:00:00,Buy,ISAPF,,iShares Core MSCI EM IMI UCITS ETF - USD ACC,Stock,5.465,27.44,-149.98,0.0,EUR,Unknown
2023-07-12 00:00:00,TransferIn,,,,Unknown,160.0,1.0,160.0,0.0,EUR,Unknown
2023-07-12 00:00:00,Buy,ALFNF,,Alfen,Stock,5.0,55.4,-277.0,0.0,EUR,Unknown
2023-07-12 00:00:00,Sell,DE000A14KRD3,,Deutsche Konsum REIT,Stock,40.0,6.22,248.8,0.99,EUR,Unknown
2023-07-12 00:00:00,Buy,YRAIF,,Yara International,Stock,8.0,35.0,-280.0,0.0,EUR,Unknown
2023-07-14 00:00:00,Dividend,DE000A0LAUP1,,CropEnergies AG,Stock,30.0,0.6,18.0,0.0,EUR,Unknown
2023-07-27 00:00:00,Dividend,NATKY,,NAC Kazatomprom GDR,Stock,10.0,1.58,15.79,0.0,EUR,Unknown
2023-08-10 00:00:00,TransferIn,,,,Unknown,500.0,1.0,500.0,0.0,EUR,Unknown
2023-08-11 00:00:00,Buy,VZ,,Verizon,Stock,9.0,30.14,-271.22,0.0,EUR,Unknown
2023-08-11 00:00:00,Buy,HIMS,,Hims & Hers Health,Stock,40.0,6.58,-263.2,0.0,EUR,Unknown
2023-08-14 00:00:00,Sell,SSWRF,,SPDR MSCI World UCITS ETF - USD ACC,Stock,15.431,28.15,434.38,0.0,EUR,Unknown
2023-08-14 00:00:00,Sell,ISAPF,,iShares Core MSCI EM IMI UCITS ETF - USD ACC,Stock,5.465,27.78,151.83,0.99,EUR,Unknown
2023-08-14 00:00:00,Buy,STNE,,StoneCo,Stock,21.0,12.56,-263.76,0.0,EUR,Unknown
2023-08-14 00:00:00,Buy,ADRZF,,Andritz,Stock,6.0,46.0,-276.0,0.0,EUR,Unknown
2023-08-16 00:00:00,Interest,,,,Unknown,1.23,-1.0,-1.23,0.0,EUR,Unknown
2023-08-16 00:00:00,Interest,,,,Unknown,1.23,1.0,1.23,0.0,EUR,Unknown
2023-08-18 00:00:00,Dividend,BTAFF,,British American Tobacco,Stock,10.0,0.67,6.73,0.0,EUR,Unknown
2023-08-31 00:00:00,Dividend,HOEGF,,Höegh Autoliners,Stock,55.0,0.32,17.56,0.0,EUR,Unknown
2023-09-01 00:00:00,Dividend,KR,,Kroger,Stock,6.0,0.27,1.61,0.0,EUR,Unknown
2023-09-11 00:00:00,Dividend,BDORY,,BANCO DO BRASIL ADR,Stock,60.0,0.001335,0.08,0.0,EUR,Unknown
2023-09-11 00:00:00,Dividend,BDORY,,BANCO DO BRASIL ADR,Stock,60.0,0.06,3.74,0.0,EUR,Unknown
2023-09-11 00:00:00,Dividend,BDORY,,BANCO DO BRASIL ADR,Stock,60.0,0.0003335,0.02,0.0,EUR,Unknown
2023-09-11 00:00:00,Dividend,BDORY,,BANCO DO BRASIL ADR,Stock,60.0,0.01365,0.82,0.0,EUR,Unknown
2023-09-19 00:00:00,TransferIn,,,,Unknown,500.0,1.0,500.0,0.0,EUR,Unknown
2023-09-20 00:00:00,Buy,OPEN,,Opendoor,Stock,82.0,3.11,-255.1,0.0,EUR,Unknown
2023-09-21 00:00:00,TransferIn,,,,Unknown,305.75,1.0,305.75,0.0,EUR,Unknown
2023-09-21 00:00:00,TransferIn,DE000A35JS40,,Cliq Digital,Stock,11.0,24.55,270.05,0.0,EUR,Unknown
2023-09-21 00:00:00,TransferOut,CLIQ.DE,,CLIQ Digital,Stock,11.0,0.0,0.0,0.0,EUR,Unknown
2023-09-21 00:00:00,Buy,SEDG,,SolarEdge Technologies,Stock,2.0,129.66,-259.32,0.0,EUR,Unknown
2023-09-21 00:00:00,Buy,VLXGF,,VOLEX,Stock,70.0,3.78,-264.6,0.0,EUR,Unknown
2023-09-26 00:00:00,Dividend,GB00B1XZS820,,Anglo American,Stock,8.807339449541285,0.5677083333333333,5.02,0.0,EUR,Unknown
2023-09-26 00:00:00,Dividend,SBYSF,,Sibanye Stillwater,Stock,200.0,0.0262,5.24,0.0,EUR,Unknown
2023-09-28 00:00:00,Dividend,BHPLF,,BHP,Stock,9.0,0.76,6.83,0.0,EUR,Unknown
2023-09-29 00:00:00,TransferIn,,,,Unknown,571.63,1.0,571.63,0.0,EUR,Unknown
2023-09-29 00:00:00,Buy,TSLA,,Tesla,Stock,2.0,238.45,-476.9,0.0,EUR,Unknown
2023-10-05 00:00:00,TransferIn,,,,Unknown,317.89,1.0,317.89,0.0,EUR,Unknown
2023-10-10 00:00:00,Dividend,BDORY,,BANCO DO BRASIL ADR,Stock,60.0,0.03085,1.85,0.0,EUR,Unknown
2023-10-10 00:00:00,Buy,STNE,,StoneCo,Stock,27.0,9.5,-256.5,0.0,EUR,Unknown
2023-10-10 00:00:00,Buy,BTEAF,,Beneteau,Stock,22.0,11.88,-261.36,0.0,EUR,Unknown
2023-10-12 00:00:00,Sell,HOEGF,,Höegh Autoliners,Stock,55.0,7.16,393.8,0.0,EUR,Unknown
2023-10-12 00:00:00,Buy,CMBM,,Cambium Networks,Stock,52.0,5.0,-260.0,0.0,EUR,Unknown
2023-10-16 00:00:00,Sell,ASTVF,,Austevoll Seafood,Stock,45.0,6.48,291.38,0.0,EUR,Unknown
2023-10-16 00:00:00,Buy,ENPH,,Enphase Energy,Stock,3.0,114.82,-344.46,0.0,EUR,Unknown
2023-10-23 00:00:00,TransferIn,,,,Unknown,473.92,1.0,473.92,0.0,EUR,Unknown
2023-10-23 00:00:00,Buy,ALB,,Albemarle Corporation,Stock,2.0,128.98,-257.96,0.0,EUR,Unknown
2023-10-23 00:00:00,Buy,TSM,,TSMC (ADR),Stock,3.0,85.7,-257.1,0.0,EUR,Unknown
2023-11-01 00:00:00,TransferIn,,,,Unknown,1640.28,1.0,1640.28,0.0,EUR,Unknown
2023-11-01 00:00:00,Dividend,VZ,,Verizon,Stock,9.0,0.63,5.63,0.0,EUR,Unknown
2023-11-02 00:00:00,Buy,SGACF,,SPDR MSCI ACWI IMI UCITS ETF - USD ACC,Stock,8.0,172.74,-1381.92,0.0,EUR,Unknown
2023-11-02 00:00:00,Buy,BRPETRACNPR6,,Petrobras (Vz),Stock,40.0,6.92,-276.76,0.0,EUR,Unknown
2023-11-03 00:00:00,TransferIn,,,,Unknown,480.93,1.0,480.93,0.0,EUR,Unknown
2023-11-03 00:00:00,Dividend,BTAFF,,British American Tobacco,Stock,10.0,0.66,6.63,0.0,EUR,Unknown
2023-11-03 00:00:00,Buy,PROSF,,Prosus,Stock,9.0,28.37,-255.33,0.0,EUR,Unknown
2023-11-03 00:00:00,Buy,KSPI,,Kaspi.kz,Stock,3.0,86.0,-258.0,0.0,EUR,Unknown
2023-11-08 00:00:00,TransferIn,,,,Unknown,1762.97,1.0,1762.97,0.0,EUR,Unknown
2023-11-08 00:00:00,Buy,TMDX,,TRANSMEDICS GROUP,Stock,5.0,57.6,-288.0,0.0,EUR,Unknown
2023-11-08 00:00:00,Buy,DE000A35JS40,,Cliq Digital,Stock,17.0,15.48,-263.16,0.0,EUR,Unknown
2023-11-08 00:00:00,Buy,ABNB,,Airbnb,Stock,3.0,108.96,-326.88,0.0,EUR,Unknown
2023-11-08 00:00:00,Buy,RWSPF,,RWS Holdings,Stock,98.0,2.62,-256.76,0.0,EUR,Unknown
2023-11-08 00:00:00,Buy,SGACF,,SPDR MSCI ACWI IMI UCITS ETF - USD ACC,Stock,3.0,174.12,-522.36,0.0,EUR,Unknown
2023-11-13 00:00:00,TransferIn,,,,Unknown,982.89,1.0,982.89,0.0,EUR,Unknown
2023-11-13 00:00:00,Buy,INMD,,InMode,Stock,14.0,18.85,-263.9,0.0,EUR,Unknown
2023-11-13 00:00:00,Buy,AMSYF,,ArcelorMittal,Stock,13.0,20.46,-265.98,0.0,EUR,Unknown
2023-11-13 00:00:00,Buy,HIMS,,Hims & Hers Health,Stock,40.0,6.54,-261.6,0.0,EUR,Unknown
2023-11-13 00:00:00,Buy,BMY,,Bristol Myers Squibb,Stock,6.0,47.1,-282.6,0.0,EUR,Unknown
2023-11-14 00:00:00,TransferIn,,,,Unknown,989.88,1.0,989.88,0.0,EUR,Unknown
2023-11-15 00:00:00,Buy,INCY,,Incyte Co.,Stock,6.0,50.54,-303.24,0.0,EUR,Unknown
2023-11-15 00:00:00,Buy,SE,,Sea (ADR),Stock,8.0,33.7,-269.6,0.0,EUR,Unknown
2023-11-15 00:00:00,Buy,ENPH,,Enphase Energy,Stock,3.0,88.84,-266.52,0.0,EUR,Unknown
2023-11-21 00:00:00,TransferIn,,,,Unknown,951.59,1.0,951.59,0.0,EUR,Unknown
2023-11-21 00:00:00,Dividend,TX,,Ternium (ADR),Stock,7.0,1.01,7.04,0.0,EUR,Unknown
2023-11-22 00:00:00,Buy,BUR,,Burford Capital,Stock,20.0,13.1,-262.0,0.0,EUR,Unknown
2023-11-22 00:00:00,Buy,CFR,,Cullen/Frost Bankers,Stock,3.0,91.0,-273.0,0.0,EUR,Unknown
2023-11-22 00:00:00,Buy,NU,,Nubank,Stock,40.0,7.49,-299.44,0.0,EUR,Unknown
2023-11-22 00:00:00,Buy,HIMS,,Hims & Hers Health,Stock,37.0,7.4,-273.8,0.0,EUR,Unknown
2023-11-24 00:00:00,Sell,ADRZF,,Andritz,Stock,6.0,48.96,293.76,0.0,EUR,Unknown
2023-11-24 00:00:00,Buy,STNE,,StoneCo,Stock,23.0,13.29,-305.67,0.0,EUR,Unknown
2023-11-28 00:00:00,TransferIn,,,,Unknown,2823.5,1.0,2823.5,0.0,EUR,Unknown
2023-11-28 00:00:00,Buy,STLA,,Stellantis N.V.,Stock,14.0,18.73,-262.22,0.0,EUR,Unknown
2023-11-28 00:00:00,Buy,CAT,,Caterpillar,Stock,2.0,225.0,-450.0,0.0,EUR,Unknown
2023-11-28 00:00:00,Buy,PYPL,,PayPal Holdings,Stock,5.0,53.12,-265.6,0.0,EUR,Unknown
2023-11-28 00:00:00,Buy,FTNT,,Fortinet,Stock,6.0,48.48,-290.85,0.0,EUR,Unknown
2023-11-28 00:00:00,Buy,AGCO,,AGCO Corporation,Stock,3.0,103.5,-310.5,0.0,EUR,Unknown
2023-11-28 00:00:00,Buy,VLO,,Valero Energy,Stock,3.0,114.8,-344.4,0.0,EUR,Unknown
2023-11-28 00:00:00,Buy,CSCO,,Cisco Systems,Stock,6.0,43.65,-261.9,0.0,EUR,Unknown
2023-11-28 00:00:00,Buy,TSLA,,Tesla,Stock,2.0,220.9,-441.8,0.0,EUR,Unknown
2023-11-30 00:00:00,TransferIn,,,,Unknown,1951.04,1.0,1951.04,0.0,EUR,Unknown
2023-11-30 00:00:00,Dividend,KSPI,,Kaspi.kz,Stock,3.0,1.71,5.13,0.0,EUR,Unknown
2023-11-30 00:00:00,Buy,CRWD,,Crowdstrike A,Stock,2.0,216.9,-433.8,0.0,EUR,Unknown
2023-11-30 00:00:00,Buy,TSLA,,Tesla,Stock,2.0,219.95,-439.9,0.0,EUR,Unknown
2023-11-30 00:00:00,Buy,STNE,,StoneCo,Stock,18.0,14.32,-257.76,0.0,EUR,Unknown
2023-11-30 00:00:00,Buy,HIMS,,Hims & Hers Health,Stock,32.0,8.14,-260.48,0.0,EUR,Unknown
2023-11-30 00:00:00,Buy,SGACF,,SPDR MSCI ACWI IMI UCITS ETF - USD ACC,Stock,4.0,178.82,-715.28,0.0,EUR,Unknown
2023-12-01 00:00:00,Dividend,KR,,Kroger,Stock,6.0,0.27,1.6,0.0,EUR,Unknown
2023-12-11 00:00:00,Dividend,BDORY,,BANCO DO BRASIL ADR,Stock,60.0,0.00965,0.58,0.0,EUR,Unknown
2023-12-11 00:00:00,Dividend,BDORY,,BANCO DO BRASIL ADR,Stock,60.0,0.065,3.89,0.0,EUR,Unknown
2023-12-13 00:00:00,Sell,OPEN,,Opendoor,Stock,82.0,3.65,299.3,0.0,EUR,Unknown
2023-12-13 00:00:00,Buy,ENPH,,Enphase Energy,Stock,3.0,97.89,-293.67,0.0,EUR,Unknown
2023-12-15 00:00:00,Dividend,CFR,,Cullen/Frost Bankers,Stock,3.0,0.84,2.52,0.0,EUR,Unknown
2023-12-15 00:00:00,Sell,BDORY,,BANCO DO BRASIL ADR,Stock,60.0,4.9,294.0,0.0,EUR,Unknown
2023-12-15 00:00:00,Buy,BTAFF,,British American Tobacco,Stock,13.0,27.17,-353.21,0.0,EUR,Unknown
2023-12-19 00:00:00,TransferIn,,,,Unknown,1215.59,1.0,1215.59,0.0,EUR,Unknown
2023-12-19 00:00:00,Buy,JPM,,JPMorgan Chase & Co.,Stock,2.0,152.0,-304.0,0.0,EUR,Unknown
2023-12-19 00:00:00,Buy,GOOGL,,Alphabet 'A',Stock,4.0,124.3,-497.2,0.0,EUR,Unknown
2023-12-19 00:00:00,Buy,BRK/B,,Berkshire Hathaway ‘B’,Stock,1.0,330.2,-330.2,0.0,EUR,Unknown
2023-12-19 00:00:00,Sell,ABNB,,Airbnb,Stock,3.0,134.34,403.02,0.0,EUR,Unknown
2023-12-19 00:00:00,Buy,DHR,,Danaher,Stock,2.0,207.2,-414.4,0.0,EUR,Unknown
2023-12-20 00:00:00,Sell,RWSPF,,RWS Holdings,Stock,98.0,2.8,274.4,0.0,EUR,Unknown
2023-12-20 00:00:00,Buy,GA0000121459,,Total Gabon,Stock,2.0,157.4,-314.8,0.0,EUR,Unknown
2023-12-22 00:00:00,Sell,DE000A0LAUP1,,CropEnergies AG,Stock,30.0,11.5,345.0,0.0,EUR,Unknown
2023-12-22 00:00:00,Sell,VZ,,Verizon,Stock,9.0,33.84,304.56,0.0,EUR,Unknown
2023-12-22 00:00:00,Buy,INMD,,InMode,Stock,13.0,20.88,-271.44,0.0,EUR,Unknown
2023-12-22 00:00:00,Buy,GOOGL,,Alphabet 'A',Stock,3.0,127.54,-382.62,0.0,EUR,Unknown
2023-12-27 00:00:00,TransferIn,,,,Unknown,4144.67,1.0,4144.67,0.0,EUR,Unknown
2023-12-27 00:00:00,TransferOut,,,,Unknown,4.99,1.0,4.99,0.0,EUR,Unknown
2023-12-27 00:00:00,TransferOut,,,,Unknown,20.93,1.0,20.93,0.0,EUR,Unknown
2023-12-27 00:00:00,Sell,CMBM,,Cambium Networks,Stock,52.0,5.25,273.0,0.0,EUR,Unknown
2023-12-27 00:00:00,Sell,GOOGL,,Alphabet 'A',Stock,7.0,127.94,895.58,0.0,EUR,Unknown
2023-12-27 00:00:00,Sell,YRAIF,,Yara International,Stock,8.0,32.1,256.8,0.0,EUR,Unknown
2023-12-28 00:00:00,TransferIn,,,,Unknown,250.0,1.0,250.0,0.0,EUR,Unknown
2023-12-28 00:00:00,Buy,XS2330514899,,"2,75% Rumänien Anleihe (2041)",Stock,1.0755,67.76,-72.88,1.0,EUR,Unknown
2023-12-28 00:00:00,Dividend,XS2330514899,,"2,75% Rumänien Anleihe (2041)",Stock,1.0755,-1.98,-2.13,0.0,EUR,Unknown
2023-12-28 00:00:00,TransferIn,TSLA,,Tesla,Stock,0.0435,233.79,10.17,0.0,EUR,Unknown
2023-12-29 00:00:00,Interest,,,,Unknown,1.43,1.0,1.43,0.0,EUR,Unknown
2023-12-29 00:00:00,Buy,IE00BLRPRL42,,WisdomTree NASDAQ 100 3x Daily Leveraged,Stock,3.0,141.24,-423.72,0.0,EUR,Unknown
2023-12-29 00:00:00,Sell,BTEAF,,Beneteau,Stock,22.0,12.5,275.0,0.0,EUR,Unknown
2024-01-02 00:00:00,Dividend,ALB,,Albemarle Corporation,Stock,2.0,0.37,0.73,0.0,EUR,Unknown
2024-01-02 00:00:00,Sell,DE000A1TNUT7,,Deutsche Beteiligung,Stock,9.0,29.6,266.4,0.0,EUR,Unknown
2024-01-02 00:00:00,Sell,DE000A35JS40,,Cliq Digital,Stock,28.0,20.0,560.0,0.0,EUR,Unknown
2024-01-02 00:00:00,Buy,HOEGF,,Höegh Autoliners,Stock,60.0,8.38,-502.5,0.0,EUR,Unknown
