Date Sold,Ticker,Asset Type,Quantity,Proceeds (EUR),Cost Basis (EUR),Realized Gain (EUR),Holding Period (days),Date Acquired
2025-12-16,IE0003XJA0J9,Stock,3350.0,"€36,722.70","€36,402.81",€319.89,195,2025-06-04
2025-12-16,IE0003XJA0J9,Stock,0.275565,€3.02,€2.99,€0.03,195,2025-06-04
2025-12-08,INPOF,Stock,185.0,"€1,796.35","€2,280.39",€-484.04,346,2024-12-27
2025-12-08,1211.HK,Stock,171.0,"€1,851.07","€1,825.41",€25.66,644,2024-03-04
2025-12-08,WPLCF,Stock,85.0,€838.10,"€1,115.40",€-277.30,350,2024-12-23
2025-12-08,EVGGF,Stock,14.0,€791.56,€930.91,€-139.35,350,2024-12-23
2025-12-08,DSKYF,Stock,80.0,"€1,512.80","€1,532.80",€-20.00,158,2025-07-03
2025-12-08,NONOF,Stock,64.242736,"€2,611.79","€3,576.51",€-964.72,353,2024-12-20
2025-12-08,INPOF,Stock,192.0,"€1,865.28","€2,366.68",€-501.40,346,2024-12-27
2025-12-08,AMZN,Stock,7.478829,"€1,478.27","€1,353.04",€125.23,493,2024-08-02
2025-12-08,SBS,Stock,80.0,"€1,744.00","€1,432.00",€312.00,187,2025-06-04
2025-12-08,INPOF,Stock,0.204164,€1.98,€2.52,€-0.54,346,2024-12-27
2025-12-08,ZTS,Stock,13.203668,"€1,345.45","€1,817.40",€-471.95,202,2025-05-20
2025-12-08,BN,Stock,26.0,"€1,037.40",€935.43,€101.97,206,2025-05-16
2025-12-08,GOOGL,Stock,5.08347,"€1,399.23",€762.33,€636.90,675,2024-02-02
2025-12-08,BN,Stock,0.5985545,€23.88,€21.53,€2.35,206,2025-05-16
2025-12-08,NU,Stock,0.791182,€11.47,€8.37,€3.10,747,2023-11-22
2025-12-08,MELI,Stock,0.524132,€939.98,"€1,091.00",€-151.02,220,2025-05-02
2025-12-08,NU,Stock,47.0,€681.59,€497.32,€184.27,747,2023-11-22
2025-12-08,AWK,Stock,8.414937,€931.11,"€1,042.20",€-111.09,193,2025-05-29
